a52dec 0.7.4-11
aalib 1.4rc5-14
acl 2.3.1-2
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aic94xx-firmware 30-9
alacritty 0.10.1-2
alsa-card-profiles 1:0.3.57-1
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-tools 1.2.5-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
amd-ucode 20220815.8413c63-1
aom 3.4.0-1
archcraft-about 1.0-2
archcraft-artworks 1.0-2
archcraft-backgrounds 1.0-4
archcraft-backgrounds-branding 1.0-2
archcraft-bspwm 2.0-1
archcraft-cursor-fluent 1.0-2
archcraft-cursor-future 1.0-2
archcraft-cursor-layan 1.0-2
archcraft-cursor-lyra 1.0-2
archcraft-cursor-material 1.0-2
archcraft-cursor-pear 1.0-2
archcraft-cursor-qogirr 1.0-2
archcraft-cursor-sweet 1.0-2
archcraft-cursor-vimix 1.0-2
archcraft-fonts 1.0-3
archcraft-grub-theme 1.0-2
archcraft-gtk-theme-adapta 1.0-2
archcraft-gtk-theme-arc 1.0-2
archcraft-gtk-theme-blade 1.0-2
archcraft-gtk-theme-cyberpunk 1.0-2
archcraft-gtk-theme-dracula 1.0-2
archcraft-gtk-theme-easy 1.0-1
archcraft-gtk-theme-groot 1.0-2
archcraft-gtk-theme-gruvbox 1.0-2
archcraft-gtk-theme-hack 1.0-2
archcraft-gtk-theme-juno 1.0-2
archcraft-gtk-theme-kripton 1.0-2
archcraft-gtk-theme-manhattan 1.0-2
archcraft-gtk-theme-nordic 1.0-2
archcraft-gtk-theme-rick 1.0-2
archcraft-gtk-theme-slime 1.0-1
archcraft-gtk-theme-spark 1.0-2
archcraft-gtk-theme-sweet 1.0-2
archcraft-gtk-theme-wave 1.0-2
archcraft-gtk-theme-white 1.0-2
archcraft-gtk-theme-windows 1.0-2
archcraft-help 1.0-4
archcraft-hooks 1.0-6
archcraft-icons-arc 1.0-3
archcraft-icons-breeze 1.0-3
archcraft-icons-hack 1.0-3
archcraft-icons-luna 1.0-3
archcraft-icons-luv 1.0-4
archcraft-icons-nordic 1.0-3
archcraft-icons-numix 1.0-3
archcraft-icons-papirus 1.0-3
archcraft-icons-qogir 1.0-3
archcraft-icons-white 1.0-3
archcraft-icons-win11 1.0-3
archcraft-icons-zafiro 1.0-3
